model,MAE,RMSE,MAPE
LGBMRegressor,5.807694162807816,6.791005597102164,14.082477279070494
LinearRegression,5.919380950927734,6.84838673729486,15.176584457169543
XGBRegressor,5.99662971496582,6.916332413882566,14.841468240997683
RandomForestRegressor,6.052381783065779,6.821842533226899,14.884226389971856
AutoETS,6.098724746704102,7.099770584718321,15.51800576915667
Naive,6.3,7.157746386491584,15.964518141998266
AutoARIMA,6.377063115437825,7.251188134129442,16.202333464552478
NHITS,6.422911961873372,7.758857022206399,15.947310446503488
DynamicTheta,6.682594426472982,7.713715209928925,17.21487607087125
RNN,6.821956125895182,7.675208621351329,17.16516149064054
SeasonalNaive,6.966666666666667,8.372574275573792,18.18187060140756
NBEATS,7.364107004801432,8.224124191784139,18.560761612701338
